Report Date,CODE,CUTS,FOB PRICE,CHANGE,%CARCASS,LBS
06/29/2020,,FORESADDLE,,,,
06/29/2020,204,"RACK, 8-RIB MEDIUM",803.1660,3.5103,5.6800,3.8056
06/29/2020,204C,"RACK, ROAST-READY, FRENCHED",1548.5362,1.9534,3.2400,2.1708
06/29/2020,209,BREAST **,286.2640,1.7053,7.7400,5.1858
06/29/2020,207,"SHOULDERS, SQ-CUT",331.5603,2.4877,22.9600,15.3832
06/29/2020,210,FORESHANK,416.1668,-1.0817,3.2400,2.1708
06/29/2020,,NECK **,179.7037,2.4702,2.3800,1.5946
06/29/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.3048
06/29/2020,296,GROUND LAMB,517.1796,8.2636,1.9200,1.2864
06/29/2020,,SHRINK,,,0.3500,0.2345
06/29/2020,,HINDSADDLE,,,,
06/29/2020,232,"LOINS, TRIMMED 4X4",567.7862,-1.3224,5.7300,3.8391
06/29/2020,232,"LOINS, TRIMMED 1X1",699.8902,23.9588,3.5500,2.3785
06/29/2020,232E,"FLANK, UNTRIMMED **",198.5723,-2.6780,2.8600,1.9162
06/29/2020,233A,"LEG, TROTTER OFF",366.5433,2.1047,15.8200,10.5994
06/29/2020,234,"LEG, BONELESS, TIED",463.7801,1.3867,11.3800,7.6246
06/29/2020,,FAT and BONE,10.0000,0.0000,7.4300,4.9781
06/29/2020,296,GROUND LAMB,517.1796,8.2636,1.9300,1.2931
06/29/2020,,SHRINK,,,0.3500,0.2345
06/26/2020,,FORESADDLE,,,,
06/26/2020,204,"RACK, 8-RIB MEDIUM",799.6557,-13.0279,5.6800,3.8056
06/26/2020,204C,"RACK, ROAST-READY, FRENCHED",1546.5828,16.9909,3.2400,2.1708
06/26/2020,209,BREAST **,284.5587,-1.0778,7.7400,5.1858
06/26/2020,207,"SHOULDERS, SQ-CUT",329.0726,-3.1582,22.9600,15.3832
06/26/2020,210,FORESHANK,417.2485,-0.8324,3.2400,2.1708
06/26/2020,,NECK **,177.2335,-1.9009,2.3800,1.5946
