Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
06/29/2020,435.9374,2.2537,50.9500,34.1365
06/26/2020,433.6837,-1.9484,50.9500,34.1365
06/25/2020,435.6321,0.3625,50.9500,34.1365
06/24/2020,435.2696,-1.8546,50.9500,35.1555
06/23/2020,437.1242,-1.1834,50.9500,35.1555
06/22/2020,438.3076,-1.6944,50.9500,35.1555
06/19/2020,440.0020,1.4470,50.9500,35.1555
06/18/2020,438.5550,-1.1257,50.9500,35.1555
06/17/2020,439.6807,1.6104,50.9500,35.6650
06/16/2020,438.0703,-0.9473,50.9500,35.6650
06/15/2020,439.0176,-2.9686,50.9500,35.6650
06/12/2020,441.9862,-2.3214,50.9500,35.6650
06/11/2020,444.3076,-0.6936,50.9500,35.6650
06/10/2020,445.0012,-0.1906,50.9500,34.1365
06/09/2020,445.1918,-1.1150,50.9500,34.1365
06/08/2020,446.3068,-1.7060,50.9500,34.1365
06/05/2020,448.0128,-13.8807,50.9500,34.1365
06/04/2020,461.8935,2.3614,50.9500,34.1365
06/03/2020,459.5321,-3.4705,50.9500,34.6460
06/02/2020,463.0026,4.7558,50.9500,34.6460
06/01/2020,458.2468,6.0647,50.9500,34.6460
05/29/2020,447.8126,-4.3695,50.9500,34.1365
05/28/2020,452.1821,1.0993,50.9500,34.6460
05/27/2020,451.0828,0.7225,50.9500,34.1365
05/26/2020,450.3603,1.7232,50.9500,34.1365
05/22/2020,454.2255,5.5884,50.9500,34.1365
05/21/2020,448.6371,-1.9392,50.9500,34.1365
05/20/2020,450.5763,2.9673,50.9500,34.6460
05/19/2020,447.6090,-1.0688,50.9500,34.6460
05/18/2020,448.6778,1.3226,50.9500,34.6460
05/15/2020,447.3552,-1.4246,50.9500,34.6460
05/14/2020,448.7798,-0.3358,50.9500,34.6460
05/13/2020,449.1156,-1.0790,50.9500,31.5890
05/12/2020,450.1946,-0.7973,50.9500,31.5890
05/11/2020,450.9919,-0.7713,50.9500,31.5890
05/08/2020,451.7632,-0.9550,50.9500,31.5890
05/07/2020,452.7182,0.6020,50.9500,31.5890
05/06/2020,452.1162,-1.1333,50.9500,30.5700
05/05/2020,453.2495,0.1475,50.9500,30.5700
05/04/2020,453.1020,3.1849,50.9500,30.5700
05/01/2020,449.9171,-0.4017,50.9500,30.5700
04/30/2020,450.3188,-1.5729,50.9500,30.5700
04/29/2020,451.8917,1.1723,50.9500,33.1175
04/28/2020,450.7194,0.4443,50.9500,33.1175
04/27/2020,450.2751,-4.2240,50.9500,33.1175
04/24/2020,454.4991,-1.5089,50.9500,33.1175
04/23/2020,456.0080,0.8422,50.9500,33.1175
04/22/2020,455.1658,-4.7368,50.9500,34.6460
04/21/2020,459.9026,0.6103,50.9500,34.6460
04/20/2020,459.2923,1.3949,50.9500,34.6460
04/17/2020,457.8974,-6.4974,50.9500,34.6460
04/16/2020,464.3948,-2.5637,50.9500,34.6460
04/15/2020,466.9585,0.1085,50.9500,35.6650
04/14/2020,466.8500,-8.2990,50.9500,35.6650
04/13/2020,475.1490,0.8911,50.9500,35.6650
04/10/2020,474.2579,1.1278,50.9500,35.6650
04/09/2020,473.1301,0.3834,50.9500,35.6650
04/08/2020,472.7467,-0.3321,50.9500,33.6270
04/07/2020,473.0788,0.7803,50.9500,33.6270
04/06/2020,472.2985,-3.7716,50.9500,33.6270
04/03/2020,476.0701,0.1281,50.9500,33.6270
04/02/2020,475.9420,3.2001,50.9500,33.6270
04/01/2020,472.7419,0.7906,50.9500,34.6460
03/31/2020,471.9513,1.9579,50.9500,34.6460
03/30/2020,469.9934,0.8899,50.9500,34.6460
03/27/2020,469.1035,0.0350,50.9500,34.6460
03/26/2020,469.0685,4.7310,50.9500,34.6460
03/25/2020,464.3375,1.7060,50.9500,35.1555
03/24/2020,462.6315,1.5832,50.9500,35.1555
03/23/2020,461.0483,1.8198,50.9500,35.1555
03/20/2020,459.2285,3.2640,50.9500,35.1555
03/19/2020,455.9645,-2.0113,50.9500,35.1555
03/18/2020,457.9758,1.3287,50.9500,35.1555
03/17/2020,456.6471,-0.1681,50.9500,35.1555
03/16/2020,456.8152,2.4391,50.9500,35.1555
03/13/2020,454.3761,-2.3048,50.9500,35.1555
03/12/2020,456.6809,-0.1472,50.9500,35.1555
03/11/2020,456.8281,0.0549,50.9500,34.6460
03/10/2020,456.7732,0.3517,50.9500,34.6460
03/09/2020,456.4215,-2.3386,50.9500,34.6460
03/06/2020,458.7601,0.5130,50.9500,34.6460
03/05/2020,458.2471,2.7953,50.9500,34.6460
03/04/2020,455.4518,0.3893,50.9500,34.6460
03/03/2020,455.0625,0.9750,50.9500,34.6460
03/02/2020,454.0875,1.2416,50.9500,34.6460
02/28/2020,452.8459,1.6177,50.9500,34.6460
02/27/2020,451.2282,-0.4106,50.9500,34.6460
02/26/2020,451.6388,1.1616,50.9500,34.6460
02/25/2020,450.4772,0.7543,50.9500,34.6460
02/24/2020,449.7229,1.5716,50.9500,34.6460
02/21/2020,448.1513,-2.5712,50.9500,34.6460
02/20/2020,450.7225,0.0437,50.9500,34.6460
02/19/2020,450.6788,1.2863,50.9500,34.6460
02/18/2020,449.3925,-2.0812,50.9500,34.6460
02/17/2020,451.4737,-3.5642,50.9500,34.6460
02/14/2020,455.0379,1.1937,50.9500,34.6460
02/13/2020,453.8442,-0.6784,50.9500,34.6460
02/12/2020,454.5226,-4.8898,50.9500,34.6460
02/11/2020,459.4124,1.7712,50.9500,34.6460
02/10/2020,457.6412,4.5943,50.9500,34.6460
02/07/2020,453.0469,1.0809,50.9500,34.6460
02/06/2020,451.9660,-1.8040,50.9500,34.6460
02/05/2020,453.7700,1.2257,50.9500,34.1365
02/04/2020,452.5443,0.1189,50.9500,34.1365
02/03/2020,452.4254,0.3774,50.9500,34.1365
01/31/2020,452.0480,-2.8733,50.9500,34.1365
01/30/2020,454.9213,2.6895,50.9500,34.1365
01/29/2020,452.2318,-1.6075,50.9500,34.1365
