Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
06/29/2020,376.2473,2.7491,49.0500,32.8635
06/26/2020,373.4982,-0.1104,49.0500,32.8635
06/25/2020,373.6086,1.4829,49.0500,32.8635
06/24/2020,372.1257,-5.3781,49.0500,33.8445
06/23/2020,377.5038,1.0892,49.0500,33.8445
06/22/2020,376.4146,-9.0485,49.0500,33.8445
06/19/2020,385.4631,-0.1251,49.0500,33.8445
06/18/2020,385.5882,-3.5543,49.0500,33.8445
06/17/2020,389.1425,0.0782,49.0500,34.3350
06/16/2020,389.0643,-0.7927,49.0500,34.3350
06/15/2020,389.8570,3.5942,49.0500,34.3350
06/12/2020,386.2628,-1.7339,49.0500,34.3350
06/11/2020,387.9967,2.9813,49.0500,34.3350
06/10/2020,385.0154,1.0408,49.0500,32.8635
06/09/2020,383.9746,-5.3373,49.0500,32.8635
06/08/2020,389.3119,4.3371,49.0500,32.8635
06/05/2020,384.9748,2.5340,49.0500,32.8635
06/04/2020,382.4408,-0.5897,49.0500,32.8635
06/03/2020,383.0305,10.1363,49.0500,33.3540
06/02/2020,372.8942,-1.0970,49.0500,33.3540
06/01/2020,373.9912,-7.5854,49.0500,33.3540
05/29/2020,375.5143,-6.0623,49.0500,32.8635
05/28/2020,381.5766,7.8832,49.0500,33.3540
05/27/2020,373.6934,-3.5349,49.0500,32.8635
05/26/2020,377.2283,14.1964,49.0500,32.8635
05/22/2020,364.1882,1.1563,49.0500,32.8635
05/21/2020,363.0319,-1.9296,49.0500,32.8635
05/20/2020,364.9615,0.2497,49.0500,33.3540
05/19/2020,364.7118,-2.8848,49.0500,33.3540
05/18/2020,367.5966,-2.1018,49.0500,33.3540
05/15/2020,369.6984,2.9601,49.0500,33.3540
05/14/2020,366.7383,4.4350,49.0500,33.3540
05/13/2020,362.3033,-2.4268,49.0500,30.4110
05/12/2020,364.7301,0.8516,49.0500,30.4110
05/11/2020,363.8785,-4.5072,49.0500,30.4110
05/08/2020,368.3857,0.5207,49.0500,30.4110
05/07/2020,367.8650,-1.6228,49.0500,30.4110
05/06/2020,369.4878,-1.3917,49.0500,29.4300
05/05/2020,370.8795,-0.4324,49.0500,29.4300
05/04/2020,371.3119,1.2358,49.0500,29.4300
05/01/2020,370.0761,-1.9788,49.0500,29.4300
04/30/2020,372.0549,-4.2140,49.0500,29.4300
04/29/2020,376.2689,2.7444,49.0500,31.8825
04/28/2020,373.5245,8.2110,49.0500,31.8825
04/27/2020,365.3135,-18.3504,49.0500,31.8825
04/24/2020,383.6639,-0.3311,49.0500,31.8825
04/23/2020,383.9950,-8.2019,49.0500,31.8825
04/22/2020,392.1969,-3.7040,49.0500,33.3540
04/21/2020,395.9009,-3.6409,49.0500,33.3540
04/20/2020,399.5418,-3.1007,49.0500,33.3540
04/17/2020,402.6425,-5.4212,49.0500,33.3540
04/16/2020,408.0637,2.8220,49.0500,33.3540
04/15/2020,405.2417,-2.0478,49.0500,34.3350
04/14/2020,407.2895,6.9816,49.0500,34.3350
04/13/2020,400.3079,0.7539,49.0500,34.3350
04/10/2020,399.5540,4.6653,49.0500,34.3350
04/09/2020,394.8887,-1.8740,49.0500,34.3350
04/08/2020,396.7627,3.0456,49.0500,32.3730
04/07/2020,393.7171,1.9389,49.0500,32.3730
04/06/2020,391.7782,-0.3542,49.0500,32.3730
04/03/2020,392.1324,-1.8909,49.0500,32.3730
04/02/2020,394.0233,0.0867,49.0500,32.3730
04/01/2020,393.9366,-0.0678,49.0500,33.3540
03/31/2020,394.0044,-1.9919,49.0500,33.3540
03/30/2020,395.9963,1.2628,49.0500,33.3540
03/27/2020,394.7335,0.1287,49.0500,33.3540
03/26/2020,394.6048,1.9793,49.0500,33.3540
03/25/2020,392.6255,-0.6010,49.0500,33.8445
03/24/2020,393.2265,-2.1227,49.0500,33.8445
03/23/2020,395.3492,4.2457,49.0500,33.8445
03/20/2020,391.1035,2.2984,49.0500,33.8445
03/19/2020,388.8051,0.0132,49.0500,33.8445
03/18/2020,388.7919,-3.0039,49.0500,33.8445
03/17/2020,391.7958,1.3723,49.0500,33.8445
03/16/2020,390.4235,-7.2890,49.0500,33.8445
03/13/2020,397.7125,-2.6206,49.0500,33.8445
03/12/2020,400.3331,-3.1694,49.0500,33.8445
03/11/2020,403.5025,-1.3509,49.0500,33.3540
03/10/2020,404.8534,-3.0168,49.0500,33.3540
03/09/2020,407.8702,-2.1925,49.0500,33.3540
03/06/2020,410.0627,-0.0840,49.0500,33.3540
03/05/2020,410.1467,8.2597,49.0500,33.3540
03/04/2020,401.8870,4.1993,49.0500,33.3540
03/03/2020,397.6877,4.1025,49.0500,33.3540
03/02/2020,393.5852,4.4672,49.0500,33.3540
02/28/2020,389.1180,0.5219,49.0500,33.3540
02/27/2020,388.5961,-0.7928,49.0500,33.3540
02/26/2020,389.3889,-0.3681,49.0500,33.3540
02/25/2020,389.7570,-4.1040,49.0500,33.3540
02/24/2020,393.8610,2.0976,49.0500,33.3540
02/21/2020,391.7634,0.7876,49.0500,33.3540
02/20/2020,390.9758,-4.8523,49.0500,33.3540
02/19/2020,395.8281,2.0192,49.0500,33.3540
02/18/2020,393.8089,-1.1256,49.0500,33.3540
